186.42|TM055|B&C|Triblend/men T-Shirt|130 g/m²|50% polyester, 25% coton, 25% viscose ; jersey doux triblend|6.21
187.42|TW056|B&C|Triblend/women T-Shirt|130 g/m²|50% polyester, 25% coton, 25% viscose ; jersey doux triblend|6.21
011.42|TM057|B&C|V Triblend/men T-Shirt|130 g/m²|50% polyester, 25% coton, 25% viscose ; jersey doux triblend|6.51
012.42|TW058|B&C|V Triblend/women T-Shirt|130 g/m²|50% polyester, 25% coton, 25% viscose ; jersey doux triblend|6.51
108.11|KK508|Kustom Kit|Fashion Fit Ringer Tee|160 g/m²|65% Polyester, 35% Coton ; bande de propreté d'épaule à épaule|6.53
171.09|2400|Gildan|Ultra Cotton Adult T-Shirt LS|203 g/m² (White: 193 g/m²)|100% coton ; nombreuses variantes chinées|6.57
113.54|5063|Tee Jays|Ladies Roll-Up Tee|160 g/m²|100% coton ringspun peigné ; Heather Grey : 85% coton, 15% polyester|6.68
112.54|5062|Tee Jays|Roll-Up Tee|160 g/m²|100% coton ringspun peigné ; Heather Grey : 85% coton, 15% polyester|6.68
031.42|TG001|B&C|#E220 Oversized T-Shirt|220 g/m²|100% coton ; véritable style non genré, coutures latérales|6.83
109.39|BY190|Build Your Brand|Acid Washed Round Neck Tee|180 g/m²|100% coton, jersey simple ; col rond côtelé|6.84
107.39|BY102|Build Your Brand|Heavy Oversize Tee|240 g/m²|100% coton ; variantes Charcoal et Grey mélangées|6.84
106.39|BY101|Build Your Brand|Ladies Turtle Extended Shoulder Dress|200 g/m²|100% coton, jersey simple ; robe t-shirt épaules découpées|6.84
118.39|BY305|Build Your Brand|Ladies Vintage Cropped Tee|210 g/m²|100% coton ; coupe régulière|6.84
108.54|8007|Tee Jays|Long Sleeve Fashion Sof Tee|185 g/m²|100% coton, ringspun et peigné ; coton doublement prérétréci|7.34
118.11|KK530|Kustom Kit|Regular Fit Superwash® 60° Pique Tee|185 g/m²|65% polyester, 35% coton (piqué) ; bord côte 1x1 au col rond|7.48
101.09|H400|Gildan|Hammer™ Adult Long Sleeve T-Shirt|203 g/m² (White: 193 g/m²)|100% Coton peigné ringspun ; Sport Grey : 90% coton, 10% polyester|7.56
105.39|BY091|Build Your Brand|Longsleeve With Cuffrib|200 g/m²|100% coton, jersey simple ; encolure ronde|7.76
106.54|5000|Tee Jays|Luxury Tee|160 g/m²|100% coton peigné ringspun (organique) ; coton longues fibres|7.76
113.39|BY070|Build Your Brand|Acid Washed Tee|160 g/m²|100% coton ; tricoté en chaîne|7.99
110.39|BY270|Build Your Brand|Ladies Oversized Acid Wash|220 g/m²|100% coton ; col rond|7.99
117.39|BY256|Build Your Brand|Oversized Sleeve Tee|240 g/m²|100% coton ; tricoté|7.99
124.54|1160|Tee Jays|UNLABELED Loose Fit Tee|220 g/m²|100% coton, ringspun et peigné (biologique) ; coupe ample|7.99
110.00|0R010M0|Russell Athletic|Heavy Duty Workwear T-Shirt|180 g/m²|100% coton ringspun, peigné, anti-boulochage ; Light Oxford 93/7 viscose|8.27
126.42|TUC01|B&C Pro|Perfect Pro Workwear T-Shirt|185 g/m²|100% coton, prérétréci et ringspun ; bord côte au col|8.41
139.54|450|Tee Jays|Ladies Stretch Tee|195 g/m²|90% coton peigné ringspun, 10% élasthanne ; surface douce, meilleur maintien|8.64
119.39|BY307|Build Your Brand|Vintage Heavy Loose Tee|240 g/m²|100% coton ; coupe ample|8.91
100.39|BY189|Build Your Brand|Acid Washed Heavy Oversize Tee|240 g/m²|100% coton ; col rond côtelé classique|9.14
115.39|BY193|Build Your Brand|Huge Tee|220 g/m²|100% coton ; tricoté|9.14
100.54|460|Tee Jays|Ladies 3/4 Sleeve Stretch Tee|195 g/m²|90% coton peigné ringspun, 10% élasthanne ; surface douce, meilleur maintien|9.72
108.39|BY163|Build Your Brand|Ultra Heavy Cotton Box Tee|300 g/m²|100% coton ; tissu en coton épais|9.78
183.54|401|Tee Jays|Mens Stretch V-Tee|195 g/m²|90% coton peigné ringspun, 10% élasthanne ; surface douce, meilleur maintien|10.79
118.54|400|Tee Jays|Stretch Tee|195 g/m²|90% coton, 10% élasthanne ; col deux épaisseurs avec élasthanne|10.79
111.33|R502X|Result Recycled|Recycled Safety T-Shirt|155 g/m²|100% polyester recyclé ; col 100% polyester|11.20
117.11|KK785|Kustom Kit|Regular Fit Mandarin Collar Top 3/4 Sleeve|200 g/m²|95% coton, 5% élasthanne ; tissu élasthanne, meilleur ajustement|11.55
103.54|590|Tee Jays|Ladies LS Interlock T-Shirt|220 g/m²|100% coton peigné ringspun (organique) ; coton longue fibre|11.64
174.54|530|Tee Jays|Mens LS Interlock T-Shirt|220 g/m²|100% coton peigné ringspun (organique) ; coton longue fibre|11.64
020.54|7022|Tee Jays|Long Sleeve CoolDry Tee|160 g/m²|95% polyester, 5% élasthanne ; tissu doux et léger|18.34
